Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",35,"17,400","22,000",New Brunswick
5312 Occupations in creative and performing art,855,"7,300","12,400",New Brunswick
53120 Dancers,130,"6,280","11,000",New Brunswick
"53121 Actors, comedians and circus performers",100,"6,500","16,000",New Brunswick
"53122 Painters, sculptors and other visual artists",200,"6,320","15,500",New Brunswick
"53123 Theatre, fashion, exhibit and other creative designers",50,"12,100","17,500",New Brunswick
53124 Artisans and craftspersons,380,"7,300","9,680",New Brunswick
"53125 Patternmakers - textile, leather and fur products",0,0,0,New Brunswick
532 Occupations in sports,290,"34,400","45,600",New Brunswick
"5320 Athletes, coaches, referees and related occupations",290,"34,400","45,600",New Brunswick
53200 Athletes,45,"17,600","52,000",New Brunswick
53201 Coaches,205,"46,800","50,800",New Brunswick
53202 Sports officials and referees,40,"2,480","11,000",New Brunswick
54 Support occupations in sport,"1,480","5,560","11,320",New Brunswick
541 Support occupations in sport,"1,480","5,560","11,320",New Brunswick
"5410 Program leaders and instructors in recreation, sport and fitness","1,480","5,560","11,320",New Brunswick
"54100 Program leaders and instructors in recreation, sport and fitness","1,480","5,560","11,320",New Brunswick
55 Support occupations in art and culture,35,"5,240","24,000",New Brunswick
551 Support occupations in art and culture,35,"5,240","24,000",New Brunswick
5510 Support occupations in art and culture,35,"5,240","24,000",New Brunswick
55109 Other performers,35,"5,240","24,000",New Brunswick
6 Sales and service occupations,"100,565","21,200","28,640",New Brunswick
60 Middle management occupations in retail and wholesale trade and customer services,"13,285","44,400","54,350",New Brunswick
600 Middle management occupations in retail and wholesale trade and customer services,"13,285","44,400","54,350",New Brunswick
6001 Corporate sales managers,"1,150","87,000","100,000",New Brunswick
60010 Corporate sales managers,"1,150","87,000","100,000",New Brunswick
6002 Retail and wholesale trade managers,"7,925","45,200","54,650",New Brunswick
60020 Retail and wholesale trade managers,"7,925","45,200","54,650",New Brunswick
6003 Managers in food service and accommodation,"3,750","34,400","41,480",New Brunswick
60030 Restaurant and food service managers,"3,105","33,600","39,720",New Brunswick
60031 Accommodation service managers,645,"42,800","50,000",New Brunswick
6004 Managers in customer and personal services,460,"35,600","40,800",New Brunswick
60040 Managers in customer and personal services,460,"35,600","40,800",New Brunswick
62 Retail sales and service supervisors and specialized occupations in sales and services,"6,285","30,800","38,280",New Brunswick
620 Retail sales and service supervisors,"4,040","29,400","33,320",New Brunswick
6201 Retail sales supervisors,"1,355","28,400","30,960",New Brunswick
62010 Retail sales supervisors,"1,355","28,400","30,960",New Brunswick
6202 Service supervisors,"2,685","29,800","34,520",New Brunswick
62020 Food service supervisors,"1,600","25,600","28,960",New Brunswick
62021 Executive housekeepers,50,"20,400","27,000",New Brunswick
"62022 Accommodation, travel, tourism and related services supervisors",140,"30,600","37,000",New Brunswick
62023 Customer and information services supervisors,455,"46,800","52,600",New Brunswick
62024 Cleaning supervisors,260,"32,800","35,200",New Brunswick
62029 Other services supervisors,180,"38,400","37,600",New Brunswick
621 Specialized sales occupations,"1,390","46,400","57,600",New Brunswick
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"1,390","46,400","57,600",New Brunswick
62100 Technical sales specialists - wholesale trade,750,"71,000","80,200",New Brunswick
62101 Retail and wholesale buyers,640,"25,600","31,150",New Brunswick
622 Specialized services occupations,855,"26,000","30,150",New Brunswick
6220 Specialized occupations in services,855,"26,000","30,150",New Brunswick
62200 Chefs,660,"24,600","26,700",New Brunswick
62201 Funeral directors and embalmers,165,"47,600","44,400",New Brunswick
"62202 Jewellers, jewellery and watch repairers and related occupations",30,0,"24,000",New Brunswick
63 Occupations in sales and services,"12,645","20,000","28,080",New Brunswick
631 Occupations in sales,"3,730","46,800","52,600",New Brunswick
"6310 Insurance, real estate and financial sales occupations","3,730","46,800","52,600",New Brunswick
63100 Insurance agents and brokers,"2,005","47,600","52,250",New Brunswick
63101 Real estate agents and salespersons,825,"39,200","54,400",New Brunswick
63102 Financial sales representatives,900,"46,800","51,600",New Brunswick
632 Occupations in services,"8,920","14,200","17,820",New Brunswick
"6320 Cooks, butchers and bakers","5,470","17,200","19,720",New Brunswick
63200 Cooks,"4,320","16,400","19,000",New Brunswick
63201 Butchers - retail and wholesale,170,"31,200","30,600",New Brunswick
63202 Bakers,980,"20,200","21,040",New Brunswick
6321 Hairstylists and estheticians,"3,340","10,000","13,900",New Brunswick
63210 Hairstylists and barbers,"2,210","9,200","13,640",New Brunswick
"63211 Estheticians, electrologists and related occupations","1,135","10,700","14,400",New Brunswick
"6322 Shoe repairers, shoemakers and upholsterers",110,"38,400","43,000",New Brunswick
63220 Shoe repairers and shoemakers,70,"59,200","60,000",New Brunswick
63221 Upholsterers,40,"12,500","15,600",New Brunswick
64 Sales and service representatives and other customer and personal services occupations,"28,970","25,800","30,000",New Brunswick
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"13,365","20,400","28,680",New Brunswick
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"13,365","20,400","28,680",New Brunswick
64100 Retail salespersons and visual merchandisers,"12,440","18,800","26,640",New Brunswick
64101 Sales and account representatives - wholesale trade (non-technical),930,"54,800","55,900",New Brunswick
642 Occupations in personal service,270,"16,000","21,400",New Brunswick
6420 Occupations in personal service,270,"16,000","21,400",New Brunswick
"64200 Tailors, dressmakers, furriers and milliners",210,"13,900","15,700",New Brunswick
"64201 Image, social and other personal consultants",60,"20,600","40,000",New Brunswick
"643 Occupations in food, accommodation and tourism","2,710","16,200","22,660",New Brunswick
6430 Occupations in food and beverage service,930,"9,700","12,120",New Brunswick
64300 Maîtres d'hôtel and hosts/hostesses,310,"5,720","8,400",New Brunswick
64301 Bartenders,630,"11,400","13,950",New Brunswick
6431 Occupations in travel and accommodation,"1,495","28,000","30,560",New Brunswick
64310 Travel counsellors,380,"33,200","30,100",New Brunswick
64311 Pursers and flight attendants,60,"44,800","44,000",New Brunswick
64312 Airline ticket and service agents,395,"38,800","43,200",New Brunswick
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",45,"50,800","46,000",New Brunswick
64314 Hotel front desk clerks,615,"17,600","20,300",New Brunswick
6432 Tourism and amusement services occupations,285,"12,800","15,800",New Brunswick
64320 Tour and travel guides,110,"10,000","18,800",New Brunswick
64321 Casino workers,60,"11,400","14,000",New Brunswick
64322 Outdoor sport and recreational guides,110,"14,900","13,800",New Brunswick
"644 Occupations in customer, information and protective services","12,625","31,400","33,160",New Brunswick
6440 Customer and information services representatives,"10,395","32,800","33,520",New Brunswick
64400 Customer services representatives - financial institutions,"1,515","36,400","36,600",New Brunswick
64401 Postal services representatives,220,"31,800","37,200",New Brunswick
64409 Other customer and information services representatives,"8,655","32,000","32,880",New Brunswick
6441 Security guards and related security service occupations,"2,230","26,800","31,560",New Brunswick
64410 Security guards and related security service occupations,"2,230","26,800","31,560",New Brunswick
65 Sales and service support occupations,"39,385","13,000","17,580",New Brunswick
651 Sales support occupations,"15,565","11,800","15,700",New Brunswick
6510 Cashiers and other sales support occupations,"15,565","11,800","15,700",New Brunswick
65100 Cashiers,"10,080","9,900","13,140",New Brunswick
65101 Service station attendants,325,"14,300","18,300",New Brunswick
"65102 Store shelf stockers, clerks and order fillers","4,460","16,800","19,460",New Brunswick
65109 Other sales related occupations,695,"18,800","27,550",New Brunswick
"652 Support occupations in food, accommodation and tourism","12,720","10,600","15,080",New Brunswick
6520 Food support occupations,"11,315","10,700","14,700",New Brunswick
65200 Food and beverage servers,"2,235","10,400","12,360",New Brunswick
"65201 Food counter attendants, kitchen helpers and related support occupations","8,840","10,700","14,940",New Brunswick
65202 Meat cutters and fishmongers - retail and wholesale,250,"24,800","27,000",New Brunswick
"6521 Support occupations in accommodation, travel, tourism and amusement services",900,"8,300","19,720",New Brunswick
"65210 Support occupations in accommodation, travel and facilities set-up services",40,"6,800","17,500",New Brunswick
"65211 Operators and attendants in amusement, recreation and sport",855,"8,400","19,840",New Brunswick
6522 Support occupations in personal services,500,"10,900","15,300",New Brunswick
65220 Pet groomers and animal care workers,465,"10,900","15,250",New Brunswick
65229 Other support occupations in personal services,30,0,"16,000",New Brunswick
653 Support occupations in cleaning and related services,"11,105","21,000","23,100",New Brunswick
6531 Cleaners,"10,210","21,200","23,280",New Brunswick
65310 Light duty cleaners,"5,650","17,400","20,520",New Brunswick
65311 Specialized cleaners,915,"22,800","23,640",New Brunswick
"65312 Janitors, caretakers and heavy-duty cleaners","3,645","28,000","27,520",New Brunswick
6532 Service support and related occupations,890,"18,400","20,960",New Brunswick
"65320 Dry cleaning, laundry and related occupations",490,"24,000","24,400",New Brunswick
65329 Other service support occupations,400,"13,100","16,700",New Brunswick
"7 Trades, transport and equipment operators and related occupations","68,355","38,800","44,120",New Brunswick
70 Middle management occupations in trades and transportation,"3,545","61,200","70,500",New Brunswick
700 Middle management occupations in trades and transportation,"3,545","61,200","70,500",New Brunswick
7001 Managers in construction and facility operation and maintenance,"2,695","59,600","66,300",New Brunswick
70010 Construction managers,"1,085","71,000","79,600",New Brunswick
70011 Home building and renovation managers,350,"28,200","31,400",New Brunswick
70012 Facility operation and maintenance managers,"1,260","58,800","64,600",New Brunswick
7002 Managers in transportation and postal and courier services,855,"72,500","83,800",New Brunswick
70020 Managers in transportation,745,"72,500","85,800",New Brunswick
70021 Postal and courier services managers,110,"74,000","71,000",New Brunswick
72 Technical trades and transportation officers and controllers,"28,320","44,400","49,960",New Brunswick
720 Technical trades contractors and supervisors,"3,775","56,400","60,500",New Brunswick
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","1,760","50,800","56,700",New Brunswick
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",260,"55,600","58,000",New Brunswick
"72011 Contractors and supervisors, electrical trades and telecommunications occupations",350,"60,800","79,200",New Brunswick
"72012 Contractors and supervisors, pipefitting trades",110,"63,600","65,000",New Brunswick
"72013 Contractors and supervisors, carpentry trades",310,"42,800","43,200",New Brunswick
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers",725,"48,000","49,800",New Brunswick
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","2,015","62,000","63,850",New Brunswick
"72020 Contractors and supervisors, mechanic trades",455,"68,000","67,200",New Brunswick
"72021 Contractors and supervisors, heavy equipment operator crews","1,060","64,500","67,200",New Brunswick
"72022 Supervisors, printing and related occupations",15,0,"45,000",New Brunswick
"72023 Supervisors, railway transport operations",30,0,"100,000",New Brunswick
"72024 Supervisors, motor transport and other ground transit operators",230,"53,600","49,600",New Brunswick
"72025 Supervisors, mail and message distribution occupations",230,"55,200","52,000",New Brunswick
721 Technical industrial trades,"3,645","42,000","43,640",New Brunswick
"7210 Machining, metal forming, shaping and erecting trades","3,645","42,000","43,640",New Brunswick
72100 Machinists and machining and tooling inspectors,565,"40,800","43,800",New Brunswick
72101 Tool and die makers,35,"54,000","52,000",New Brunswick
72102 Sheet metal workers,385,"39,200","38,600",New Brunswick
72103 Boilermakers,300,"33,200","40,000",New Brunswick
72104 Structural metal and platework fabricators and fitters,120,"46,000","46,000",New Brunswick
72105 Ironworkers,275,"48,800","52,000",New Brunswick
72106 Welders and related machine operators,"1,960","42,800","43,720",New Brunswick
722 Technical electrical trades,"3,885","51,200","55,650",New Brunswick
7220 Technical electrical trades and electrical power line and telecommunications workers,"3,885","51,200","55,650",New Brunswick
72200 Electricians (except industrial and power system),"2,110","39,600","42,680",New Brunswick
72201 Industrial electricians,480,"74,500","72,000",New Brunswick
72202 Power system electricians,120,"78,000","75,000",New Brunswick
72203 Electrical power line and cable workers,520,"95,000","91,200",New Brunswick
72204 Telecommunications line and cable installers and repairers,185,"53,200","50,000",New Brunswick
72205 Telecommunications equipment installation and cable television service technicians,470,"58,800","54,600",New Brunswick
723 Technical construction trades,"6,710","31,600","35,280",New Brunswick
"7230 Plumbers, pipefitters and gas fitters","1,610","46,400","48,520",New Brunswick
72300 Plumbers,970,"42,000","42,700",New Brunswick
"72301 Steamfitters, pipefitters and sprinkler system installers",550,"51,200","56,800",New Brunswick
72302 Gas fitters,90,"58,000","61,000",New Brunswick
7231 Carpenters and cabinetmakers,"4,575","26,800","30,800",New Brunswick
72310 Carpenters,"4,385","26,400","30,680",New Brunswick
72311 Cabinetmakers,190,"35,200","33,600",New Brunswick
7232 Bricklayers and insulators,525,"32,400","34,000",New Brunswick
72320 Bricklayers,235,"22,600","28,200",New Brunswick
72321 Insulators,290,"35,200","38,400",New Brunswick
724 Technical maintenance trades,"8,975","47,200","50,680",New Brunswick
7240 Machinery and transportation equipment mechanics (except motor vehicles),"3,335","61,600","64,100",New Brunswick
72400 Construction millwrights and industrial mechanics,"1,665","60,400","64,500",New Brunswick
72401 Heavy-duty equipment mechanics,860,"61,200","65,000",New Brunswick
"72402 Heating, refrigeration and air conditioning mechanics",480,"52,400","53,800",New Brunswick
72403 Railway carmen/women,50,"88,000","84,000",New Brunswick
72404 Aircraft mechanics and aircraft inspectors,185,"71,500","70,500",New Brunswick
72405 Machine fitters,25,0,"28,000",New Brunswick
72406 Elevator constructors and mechanics,75,"113,000","100,000",New Brunswick
7241 Automotive service technicians,"5,070","41,200","42,800",New Brunswick
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","4,420","42,800","43,680",New Brunswick
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators",650,"35,600","36,900",New Brunswick
7242 Small engine and equipment mechanics and related repairers (including electrical components),575,"36,400","42,400",New Brunswick
72420 Oil and solid fuel heating mechanics,75,"55,200","54,000",New Brunswick
72421 Appliance servicers and repairers,80,"45,600","45,000",New Brunswick
72422 Electrical mechanics,75,"64,500","66,000",New Brunswick
"72423 Motorcycle, all-terrain vehicle and other related mechanics",205,"36,800","38,800",New Brunswick
72429 Other small engine and small equipment repairers,135,"27,200","26,400",New Brunswick
725 Technical equipment operation trades,315,"56,800","65,500",New Brunswick
7250 Crane operators and water well drillers,315,"56,800","65,500",New Brunswick
72500 Crane operators,295,"63,600","67,000",New Brunswick
72501 Water well drillers,20,0,"44,000",New Brunswick
726 Transportation officers and controllers,770,"98,000","107,200",New Brunswick
7260 Transportation officers and controllers,770,"98,000","107,200",New Brunswick
"72600 Air pilots, flight engineers and flying instructors",275,"91,000","102,000",New Brunswick
72601 Air traffic controllers and related occupations,185,"151,000","140,000",New Brunswick
"72602 Deck officers, water transport",250,"71,500","86,000",New Brunswick
"72603 Engineer officers, water transport",45,"143,000","116,000",New Brunswick
72604 Railway traffic controllers and marine traffic regulators,0,0,0,New Brunswick
729 Other technical trades,250,"47,600","65,000",New Brunswick
7299 Other technical trades,250,"47,600","65,000",New Brunswick
72999 Other technical trades and related occupations,250,"47,600","65,000",New Brunswick
73 General trades,"20,060","36,800","39,960",New Brunswick
731 General construction trades,"2,235","25,600","29,320",New Brunswick
"7310 Concrete finishers, tilesetters and plasterers",625,"29,800","32,400",New Brunswick
73100 Concrete finishers,105,"23,600","24,400",New Brunswick
73101 Tilesetters,45,"13,900","23,000",New Brunswick
"73102 Plasterers, drywall installers and finishers and lathers",470,"36,400","35,000",New Brunswick
"7311 Roofers, glaziers, painters, decorators and floor covering installers","1,605","24,400","28,160",New Brunswick
73110 Roofers and shinglers,475,"23,600","30,600",New Brunswick
73111 Glaziers,120,"38,000","36,500",New Brunswick
73112 Painters and decorators (except interior decorators),815,"22,200","25,400",New Brunswick
73113 Floor covering installers,195,"26,200","28,800",New Brunswick
"732 Building maintenance installers, servicers and repairers","3,265","32,400","33,440",New Brunswick
"7320 Building maintenance installers, servicers and repairers","3,265","32,400","33,440",New Brunswick
73200 Residential and commercial installers and servicers,820,"29,400","31,250",New Brunswick
73201 General building maintenance workers and building superintendents,"2,135","32,400","33,640",New Brunswick
73202 Pest controllers and fumigators,85,"44,000","42,000",New Brunswick
73209 Other repairers and servicers,220,"38,800","36,400",New Brunswick
733 Transportation occupations,"11,585","40,000","42,480",New Brunswick
7330 Transport truck and transit drivers,"11,420","39,600","41,760",New Brunswick
73300 Transport truck drivers,"9,635","44,400","43,960",New Brunswick
"73301 Bus drivers, subway operators and other transit operators","1,795","28,600","29,880",New Brunswick
7331 Train crew operating occupations,170,"104,000","93,000",New Brunswick
73310 Railway and yard locomotive engineers,105,"112,000","104,000",New Brunswick
73311 Railway conductors and brakemen/women,65,"77,500","74,000",New Brunswick
"734 Operators, drillers and blasters","2,980","40,800","45,360",New Brunswick
"7340 Operators, drillers and blasters","2,980","40,800","45,360",New Brunswick
73400 Heavy equipment operators,"2,760","40,400","45,520",New Brunswick
73401 Printing press operators,175,"42,400","40,800",New Brunswick
"73402 Drillers and blasters - surface mining, quarrying and construction",50,"52,800","52,000",New Brunswick
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","3,575","41,600","42,200",New Brunswick
741 Mail and message distribution occupations,"2,020","44,400","43,280",New Brunswick
7410 Mail and message distribution occupations,"2,020","44,400","43,280",New Brunswick
74100 Mail and parcel sorters and related occupations,440,"37,600","38,400",New Brunswick
74101 Letter carriers,875,"54,400","50,300",New Brunswick
74102 Couriers and messengers,705,"36,400","37,700",New Brunswick
"742 Transport equipment operators, utility maintenance and related workers","1,550","35,600","40,760",New Brunswick
"7420 Transport equipment operators, utility maintenance and related maintenance workers","1,550","35,600","40,760",New Brunswick
74200 Railway yard and track maintenance workers,90,"58,400","61,000",New Brunswick
74201 Water transport deck and engine room crew,145,"55,600","50,000",New Brunswick
74202 Air transport ramp attendants,115,"45,200","53,000",New Brunswick
74203 Automotive and heavy truck and equipment parts installers and servicers,685,"22,000","33,000",New Brunswick
74204 Utility maintenance workers,60,"64,000","56,000",New Brunswick
74205 Public works maintenance equipment operators and related workers,455,"43,200","40,400",New Brunswick
"75 Helpers and labourers and other transport drivers, operators and labourers","12,850","26,600","30,920",New Brunswick
751 Helpers and labourers,"9,770","27,600","31,560",New Brunswick
7510 Longshore workers and material handlers,"3,845","34,400","36,720",New Brunswick
75100 Longshore workers,120,"24,000","41,000",New Brunswick
75101 Material handlers,"3,720","34,800","36,560",New Brunswick
7511 Trades helpers and labourers,"5,925","24,000","28,240",New Brunswick
75110 Construction trades helpers and labourers,"5,545","23,800","28,160",New Brunswick
75119 Other trades helpers and labourers,380,"27,800","29,600",New Brunswick
"752 Transport drivers, operators and labourers","3,080","23,600","28,800",New Brunswick
"7520 Taxi, personal service and delivery service drivers","1,905","17,800","24,080",New Brunswick
75200 Taxi and limousine drivers and chauffeurs,530,"6,360","12,520",New Brunswick
75201 Delivery service drivers and door-to-door distributors,"1,375","23,600","28,560",New Brunswick
7521 Water and rail transport operators and labourers and related occupations,"1,175","33,600","36,400",New Brunswick
75210 Boat and cable ferry operators and related occupations,115,"47,200","49,000",New Brunswick
75211 Railway and motor transport labourers,120,"26,200","29,200",New Brunswick
75212 Public works and maintenance labourers,940,"33,600","35,900",New Brunswick
"8 Natural resources, agriculture and related production occupations","14,240","20,800","33,080",New Brunswick
80 Middle management occupations in production and agriculture,"1,915","30,000","39,000",New Brunswick
800 Middle management occupations in production and agriculture,"1,915","30,000","39,000",New Brunswick
8001 Managers in natural resources production and fishing,165,"82,000","99,000",New Brunswick
80010 Managers in natural resources production and fishing,165,"82,000","99,000",New Brunswick
"8002 Managers in agriculture, horticulture and aquaculture","1,750","25,400","33,360",New Brunswick
80020 Managers in agriculture,"1,515","21,600","29,680",New Brunswick
80021 Managers in horticulture,100,"25,000","35,500",New Brunswick
80022 Managers in aquaculture,135,"65,000","73,000",New Brunswick
"82 Supervisors in natural resources, agriculture and related production",890,"51,200","60,500",New Brunswick
"820 Supervisors in natural resources, agriculture and related production",890,"51,200","60,500",New Brunswick
"8201 Supervisors, logging and forestry",335,"55,200","54,400",New Brunswick
"82010 Supervisors, logging and forestry",335,"55,200","54,400",New Brunswick
"8202 Contractors and supervisors, mining, oil and gas",195,"83,000","105,000",New Brunswick
"82020 Supervisors, mining and quarrying",130,"71,000","88,000",New Brunswick
"82021 Contractors and supervisors, oil and gas drilling and services",60,"116,000","144,000",New Brunswick
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services",365,"35,600","42,000",New Brunswick
82030 Agricultural service contractors and farm supervisors,45,"44,000","52,000",New Brunswick
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",320,"35,600","40,800",New Brunswick
83 Occupations in natural resources and related production,"2,745","38,000","48,400",New Brunswick
831 Occupations in natural resources and fisheries,"2,745","38,000","48,400",New Brunswick
"8310 Underground miners, oil and gas drillers and related occupations",375,"78,000","86,400",New Brunswick
83100 Underground production and development miners,295,"94,000","95,000",New Brunswick
"83101 Oil and gas well drillers, servicers, testers and related workers",80,"45,200","53,000",New Brunswick
8311 Logging machinery operators,625,"50,400","49,000",New Brunswick
83110 Logging machinery operators,625,"50,400","49,000",New Brunswick
8312 Fishing vessel masters and fishermen/women,"1,745","24,200","40,120",New Brunswick
83120 Fishing masters and officers,105,"50,000","69,000",New Brunswick
83121 Fishermen/women,"1,645","23,200","38,280",New Brunswick
"84 Workers in natural resources, agriculture and related production","3,560","19,000","28,880",New Brunswick
841 Workers in natural resources and fisheries,"3,560","19,000","28,880",New Brunswick
8410 Mine service workers and operators in oil and gas drilling,110,"69,500","71,000",New Brunswick
84100 Underground mine service and support workers,65,"52,800","70,000",New Brunswick
84101 Oil and gas well drilling and related workers and services operators,50,"83,000","72,000",New Brunswick
8411 Logging and forestry workers,"1,150","19,600","28,350",New Brunswick
84110 Chain saw and skidder operators,515,"18,200","25,500",New Brunswick
84111 Silviculture and forestry workers,635,"19,800","30,600",New Brunswick
8412 Workers in agriculture and fishing occupations,"2,300","18,200","27,160",New Brunswick
84120 Specialized livestock workers and farm machinery operators,960,"19,800","22,880",New Brunswick
84121 Fishing vessel deckhands,"1,345","17,600","30,200",New Brunswick
"85 Harvesting, landscaping and natural resources labourers","5,130","14,400","20,840",New Brunswick
"851 Harvesting, landscaping and natural resources labourers","5,130","14,400","20,840",New Brunswick
"8510 Agriculture, horticulture and harvesting labourers and related occupations","2,330","16,200","22,960",New Brunswick
85100 Livestock labourers,550,"17,400","22,000",New Brunswick
85101 Harvesting labourers,570,"12,200","17,000",New Brunswick
85102 Aquaculture and marine harvest labourers,585,"24,800","34,200",New Brunswick
85103 Nursery and greenhouse labourers,620,"14,000","18,600",New Brunswick
85104 Trappers and hunters,0,0,0,New Brunswick
"8511 Mine and oil and gas drilling, services and related labourers",80,"33,600","52,000",New Brunswick
85110 Mine labourers,40,"32,400","52,000",New Brunswick
"85111 Oil and gas drilling, servicing and related labourers",35,"39,200","52,000",New Brunswick
"8512 Logging, forestry, landscaping and other related labourers","2,725","12,500","18,140",New Brunswick
85120 Logging and forestry labourers,355,"13,000","17,100",New Brunswick
85121 Landscaping and grounds maintenance labourers,"2,365","12,000","18,300",New Brunswick
9 Occupations in manufacturing and utilities,"19,785","32,400","43,440",New Brunswick
90 Middle management occupations in manufacturing and utilities,"1,435","79,500","94,700",New Brunswick
900 Middle management occupations in manufacturing and utilities,"1,435","79,500","94,700",New Brunswick
9001 Managers in manufacturing and utilities,"1,435","79,500","94,700",New Brunswick
90010 Manufacturing managers,"1,245","76,000","91,400",New Brunswick
90011 Utilities managers,190,"114,000","117,000",New Brunswick
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","2,815","68,500","75,600",New Brunswick
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","1,335","60,000","69,700",New Brunswick
"9201 Supervisors, processing and manufacturing occupations","1,160","61,200","71,400",New Brunswick
"92010 Supervisors, mineral and metal processing",55,"57,600","74,000",New Brunswick
"92011 Supervisors, petroleum, gas and chemical processing and utilities",265,"103,000","115,000",New Brunswick
"92012 Supervisors, food and beverage processing",535,"46,000","48,400",New Brunswick
"92013 Supervisors, plastic and rubber products manufacturing",0,0,0,New Brunswick
"92014 Supervisors, forest products processing",295,"76,500","75,000",New Brunswick
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",0,0,0,New Brunswick
"9202 Supervisors, assembly and fabrication",170,"57,200","58,400",New Brunswick
"92020 Supervisors, motor vehicle assembling",0,0,0,New Brunswick
"92021 Supervisors, electronics and electrical products manufacturing",20,0,"70,000",New Brunswick
"92022 Supervisors, furniture and fixtures manufacturing",0,0,0,New Brunswick
"92023 Supervisors, other mechanical and metal products manufacturing",45,"73,000","70,000",New Brunswick
"92024 Supervisors, other products manufacturing and assembly",80,"45,200","45,000",New Brunswick
921 Utilities equipment operators and controllers,"1,480","77,000","80,900",New Brunswick
9210 Utilities equipment operators and controllers,"1,480","77,000","80,900",New Brunswick
92100 Power engineers and power systems operators,"1,200","88,000","86,800",New Brunswick
92101 Water and waste treatment plant operators,275,"59,600","55,200",New Brunswick
93 Central control and process operators and aircraft assembly assemblers and inspectors,595,"94,000","92,400",New Brunswick
931 Central control and process operators in processing and manufacturing,560,"97,000","96,000",New Brunswick
9310 Central control and process operators in processing and manufacturing,560,"97,000","96,000",New Brunswick
"93100 Central control and process operators, mineral and metal processing",0,0,0,New Brunswick
"93101 Central control and process operators, petroleum, gas and chemical processing",490,"93,000","94,400",New Brunswick
"93102 Pulping, papermaking and coating control operators",70,"111,000","112,000",New Brunswick
932 Aircraft assemblers and aircraft assembly inspectors,25,0,"20,000",New Brunswick
9320 Aircraft assemblers and aircraft assembly inspectors,25,0,"20,000",New Brunswick
93200 Aircraft assemblers and aircraft assembly inspectors,25,0,"20,000",New Brunswick
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","7,290","30,400","35,240",New Brunswick
941 Processing and manufacturing machine operators and related production workers,"5,520","29,600","35,880",New Brunswick
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,335,"33,600","34,200",New Brunswick
"94100 Machine operators, mineral and metal processing",70,"32,800","39,000",New Brunswick
94101 Foundry workers,0,0,0,New Brunswick
94102 Glass forming and finishing machine operators and glass cutters,50,"31,800","31,000",New Brunswick
"94103 Concrete, clay and stone forming operators",30,0,"40,000",New Brunswick
"94104 Inspectors and testers, mineral and metal processing",0,0,0,New Brunswick
94105 Metalworking and forging machine operators,115,"34,800","32,500",New Brunswick
94106 Machining tool operators,45,"44,800","40,000",New Brunswick
94107 Machine operators of other metal products,10,0,"16,000",New Brunswick
"9411 Machine operators and related workers in chemical, plastic and rubber processing",335,"45,600","47,400",New Brunswick
94110 Chemical plant machine operators,55,"70,000","72,000",New Brunswick
94111 Plastics processing machine operators,250,"44,800","42,400",New Brunswick
94112 Rubber processing machine operators and related workers,35,"34,400","48,000",New Brunswick
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,"1,315","52,800","59,300",New Brunswick
94120 Sawmill machine operators,325,"45,600","45,800",New Brunswick
"94121 Pulp mill, papermaking and finishing machine operators",380,"96,000","87,600",New Brunswick
94122 Paper converting machine operators,100,"68,500","68,000",New Brunswick
94123 Lumber graders and other wood processing inspectors and graders,145,"47,600","49,000",New Brunswick
94124 Woodworking machine operators,255,"38,800","40,000",New Brunswick
94129 Other wood processing machine operators,100,"57,600","52,000",New Brunswick
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",115,"15,900","16,800",New Brunswick
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers",20,0,"19,000",New Brunswick
"94131 Weavers, knitters and other fabric making occupations",0,0,0,New Brunswick
94132 Industrial sewing machine operators,80,"15,800","16,500",New Brunswick
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",0,0,0,New Brunswick
"9414 Machine operators and related workers in food, beverage and associated products processing","3,290","20,800","26,240",New Brunswick
"94140 Process control and machine operators, food and beverage processing","1,065","38,000","38,300",New Brunswick
"94141 Industrial butchers and meat cutters, poultry preparers and related workers",145,"34,000","32,500",New Brunswick
