Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
541 Support occupations in sport,"23,510","6,000","13,060",Quebec
"5410 Program leaders and instructors in recreation, sport and fitness","23,510","6,000","13,060",Quebec
"54100 Program leaders and instructors in recreation, sport and fitness","23,510","6,000","13,060",Quebec
55 Support occupations in art and culture,655,"8,900","25,120",Quebec
551 Support occupations in art and culture,655,"8,900","25,120",Quebec
5510 Support occupations in art and culture,655,"8,900","25,120",Quebec
55109 Other performers,655,"8,900","25,120",Quebec
6 Sales and service occupations,"1,064,645","20,400","30,600",Quebec
60 Middle management occupations in retail and wholesale trade and customer services,"134,205","42,400","54,900",Quebec
600 Middle management occupations in retail and wholesale trade and customer services,"134,205","42,400","54,900",Quebec
6001 Corporate sales managers,"16,570","93,000","105,900",Quebec
60010 Corporate sales managers,"16,570","93,000","105,900",Quebec
6002 Retail and wholesale trade managers,"72,365","43,200","53,650",Quebec
60020 Retail and wholesale trade managers,"72,365","43,200","53,650",Quebec
6003 Managers in food service and accommodation,"42,380","30,200","38,200",Quebec
60030 Restaurant and food service managers,"37,975","29,600","37,200",Quebec
60031 Accommodation service managers,"4,410","39,200","46,760",Quebec
6004 Managers in customer and personal services,"2,895","29,400","37,800",Quebec
60040 Managers in customer and personal services,"2,895","29,400","37,800",Quebec
62 Retail sales and service supervisors and specialized occupations in sales and services,"65,525","37,200","45,840",Quebec
620 Retail sales and service supervisors,"37,105","37,200","42,320",Quebec
6201 Retail sales supervisors,"10,875","32,000","37,400",Quebec
62010 Retail sales supervisors,"10,875","32,000","37,400",Quebec
6202 Service supervisors,"26,230","40,000","44,360",Quebec
62020 Food service supervisors,"18,050","38,400","44,040",Quebec
62021 Executive housekeepers,405,"38,800","41,400",Quebec
"62022 Accommodation, travel, tourism and related services supervisors",665,"41,200","43,200",Quebec
62023 Customer and information services supervisors,"2,685","53,200","55,250",Quebec
62024 Cleaning supervisors,"2,230","39,200","38,640",Quebec
62029 Other services supervisors,"2,200","39,200","40,440",Quebec
621 Specialized sales occupations,"14,710","52,800","67,500",Quebec
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"14,710","52,800","67,500",Quebec
62100 Technical sales specialists - wholesale trade,"7,130","74,000","90,300",Quebec
62101 Retail and wholesale buyers,"7,585","39,600","45,960",Quebec
622 Specialized services occupations,"13,715","24,000","32,280",Quebec
6220 Specialized occupations in services,"13,715","24,000","32,280",Quebec
62200 Chefs,"11,595","23,200","30,360",Quebec
62201 Funeral directors and embalmers,"1,065","44,400","60,300",Quebec
"62202 Jewellers, jewellery and watch repairers and related occupations","1,060","21,800","25,040",Quebec
63 Occupations in sales and services,"159,325","21,600","32,720",Quebec
631 Occupations in sales,"41,880","50,400","61,650",Quebec
"6310 Insurance, real estate and financial sales occupations","41,880","50,400","61,650",Quebec
63100 Insurance agents and brokers,"15,500","51,200","58,950",Quebec
63101 Real estate agents and salespersons,"16,170","44,800","61,700",Quebec
63102 Financial sales representatives,"10,210","53,200","65,700",Quebec
632 Occupations in services,"117,445","16,200","22,400",Quebec
"6320 Cooks, butchers and bakers","67,915","17,400","21,940",Quebec
63200 Cooks,"53,550","15,700","20,480",Quebec
63201 Butchers - retail and wholesale,"5,795","34,000","32,920",Quebec
63202 Bakers,"8,570","19,400","23,700",Quebec
6321 Hairstylists and estheticians,"39,110","11,500","15,940",Quebec
63210 Hairstylists and barbers,"22,775","11,300","15,220",Quebec
"63211 Estheticians, electrologists and related occupations","16,340","11,700","16,960",Quebec
"6322 Shoe repairers, shoemakers and upholsterers","10,420","46,000","49,600",Quebec
63220 Shoe repairers and shoemakers,"9,350","48,000","51,550",Quebec
63221 Upholsterers,"1,075","28,600","32,500",Quebec
64 Sales and service representatives and other customer and personal services occupations,"297,850","23,200","31,520",Quebec
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"155,225","18,400","30,520",Quebec
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"155,225","18,400","30,520",Quebec
64100 Retail salespersons and visual merchandisers,"142,715","17,000","27,800",Quebec
64101 Sales and account representatives - wholesale trade (non-technical),"12,510","52,000","61,700",Quebec
642 Occupations in personal service,"8,585","19,600","21,380",Quebec
6420 Occupations in personal service,"8,585","19,600","21,380",Quebec
"64200 Tailors, dressmakers, furriers and milliners","8,125","19,200","19,520",Quebec
"64201 Image, social and other personal consultants",455,"50,400","54,800",Quebec
"643 Occupations in food, accommodation and tourism","24,460","16,400","25,020",Quebec
6430 Occupations in food and beverage service,"9,105","8,800","12,900",Quebec
64300 Maîtres d'hôtel and hosts/hostesses,"4,350","7,250","11,350",Quebec
64301 Bartenders,"4,760","10,100","14,320",Quebec
6431 Occupations in travel and accommodation,"12,850","28,200","33,920",Quebec
64310 Travel counsellors,"3,440","23,000","28,360",Quebec
64311 Pursers and flight attendants,"3,415","43,200","47,120",Quebec
64312 Airline ticket and service agents,"1,985","33,200","37,920",Quebec
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks",585,"58,400","55,200",Quebec
64314 Hotel front desk clerks,"3,430","17,600","20,420",Quebec
6432 Tourism and amusement services occupations,"2,505","18,200","23,460",Quebec
64320 Tour and travel guides,885,"7,050","16,280",Quebec
64321 Casino workers,920,"33,200","33,200",Quebec
64322 Outdoor sport and recreational guides,700,"16,800","19,800",Quebec
"644 Occupations in customer, information and protective services","109,580","32,800","35,120",Quebec
6440 Customer and information services representatives,"77,340","32,400","35,200",Quebec
64400 Customer services representatives - financial institutions,"15,420","35,200","35,760",Quebec
64401 Postal services representatives,"1,700","29,800","34,840",Quebec
64409 Other customer and information services representatives,"60,220","31,600","35,080",Quebec
6441 Security guards and related security service occupations,"32,240","33,200","34,840",Quebec
64410 Security guards and related security service occupations,"32,240","33,200","34,840",Quebec
65 Sales and service support occupations,"407,740","12,900","18,700",Quebec
651 Sales support occupations,"164,220","11,500","16,520",Quebec
6510 Cashiers and other sales support occupations,"164,220","11,500","16,520",Quebec
65100 Cashiers,"96,110","10,200","13,720",Quebec
65101 Service station attendants,"1,410","13,300","17,600",Quebec
"65102 Store shelf stockers, clerks and order fillers","57,470","13,800","17,980",Quebec
65109 Other sales related occupations,"9,230","21,400","36,400",Quebec
"652 Support occupations in food, accommodation and tourism","130,510","11,000","16,360",Quebec
6520 Food support occupations,"116,205","10,900","16,000",Quebec
65200 Food and beverage servers,"29,510","12,100","15,440",Quebec
"65201 Food counter attendants, kitchen helpers and related support occupations","85,480","10,300","16,140",Quebec
65202 Meat cutters and fishmongers - retail and wholesale,"1,220","15,900","19,920",Quebec
"6521 Support occupations in accommodation, travel, tourism and amusement services","9,010","10,600","18,960",Quebec
"65210 Support occupations in accommodation, travel and facilities set-up services",745,"20,400","27,200",Quebec
"65211 Operators and attendants in amusement, recreation and sport","8,265","10,000","18,220",Quebec
6522 Support occupations in personal services,"5,295","14,700","20,020",Quebec
65220 Pet groomers and animal care workers,"4,905","15,000","20,400",Quebec
65229 Other support occupations in personal services,390,"12,500","15,300",Quebec
653 Support occupations in cleaning and related services,"113,020","20,400","24,600",Quebec
6531 Cleaners,"102,515","20,600","24,640",Quebec
65310 Light duty cleaners,"74,875","18,600","23,200",Quebec
65311 Specialized cleaners,"9,385","22,000","26,160",Quebec
"65312 Janitors, caretakers and heavy-duty cleaners","18,250","29,000","29,680",Quebec
6532 Service support and related occupations,"10,505","19,800","24,280",Quebec
"65320 Dry cleaning, laundry and related occupations","4,470","25,600","26,960",Quebec
65329 Other service support occupations,"6,030","15,300","22,300",Quebec
"7 Trades, transport and equipment operators and related occupations","695,175","43,600","47,560",Quebec
70 Middle management occupations in trades and transportation,"40,430","61,200","70,700",Quebec
700 Middle management occupations in trades and transportation,"40,430","61,200","70,700",Quebec
7001 Managers in construction and facility operation and maintenance,"32,885","58,000","66,800",Quebec
70010 Construction managers,"16,730","70,500","80,600",Quebec
70011 Home building and renovation managers,"6,445","20,400","29,040",Quebec
70012 Facility operation and maintenance managers,"9,710","60,800","68,200",Quebec
7002 Managers in transportation and postal and courier services,"7,550","78,500","87,600",Quebec
70020 Managers in transportation,"7,050","80,000","89,600",Quebec
70021 Postal and courier services managers,500,"56,800","58,600",Quebec
72 Technical trades and transportation officers and controllers,"291,545","51,600","54,850",Quebec
720 Technical trades contractors and supervisors,"34,310","63,600","66,400",Quebec
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","13,980","63,600","66,600",Quebec
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","3,170","63,200","66,100",Quebec
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","3,855","82,000","81,600",Quebec
"72012 Contractors and supervisors, pipefitting trades",955,"81,000","79,400",Quebec
"72013 Contractors and supervisors, carpentry trades","2,170","57,200","59,500",Quebec
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","3,825","48,400","52,750",Quebec
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","20,330","63,600","66,300",Quebec
"72020 Contractors and supervisors, mechanic trades","7,370","58,400","63,850",Quebec
"72021 Contractors and supervisors, heavy equipment operator crews","8,165","71,000","71,000",Quebec
"72022 Supervisors, printing and related occupations",675,"53,600","55,000",Quebec
"72023 Supervisors, railway transport operations",305,"92,000","102,000",Quebec
"72024 Supervisors, motor transport and other ground transit operators","1,590","64,000","66,500",Quebec
"72025 Supervisors, mail and message distribution occupations","2,220","57,600","55,300",Quebec
721 Technical industrial trades,"45,695","46,000","48,480",Quebec
"7210 Machining, metal forming, shaping and erecting trades","45,695","46,000","48,480",Quebec
72100 Machinists and machining and tooling inspectors,"12,930","47,200","48,920",Quebec
72101 Tool and die makers,"1,355","52,400","52,100",Quebec
72102 Sheet metal workers,"4,995","51,200","51,300",Quebec
72103 Boilermakers,490,"51,200","56,800",Quebec
72104 Structural metal and platework fabricators and fitters,"1,180","48,000","52,900",Quebec
72105 Ironworkers,"3,020","58,000","58,700",Quebec
72106 Welders and related machine operators,"21,720","43,600","45,520",Quebec
722 Technical electrical trades,"35,035","62,000","62,700",Quebec
7220 Technical electrical trades and electrical power line and telecommunications workers,"35,035","62,000","62,700",Quebec
72200 Electricians (except industrial and power system),"18,980","58,000","56,800",Quebec
72201 Industrial electricians,"2,475","78,500","79,900",Quebec
72202 Power system electricians,"1,150","77,000","75,200",Quebec
72203 Electrical power line and cable workers,"3,155","88,000","87,600",Quebec
72204 Telecommunications line and cable installers and repairers,"1,920","54,400","55,050",Quebec
72205 Telecommunications equipment installation and cable television service technicians,"7,345","60,400","61,450",Quebec
723 Technical construction trades,"69,920","45,600","46,480",Quebec
"7230 Plumbers, pipefitters and gas fitters","13,190","56,000","55,800",Quebec
72300 Plumbers,"8,910","54,800","53,250",Quebec
"72301 Steamfitters, pipefitters and sprinkler system installers","3,850","61,600","60,500",Quebec
72302 Gas fitters,430,"60,800","65,600",Quebec
7231 Carpenters and cabinetmakers,"50,240","43,200","44,160",Quebec
72310 Carpenters,"44,585","45,200","45,800",Quebec
72311 Cabinetmakers,"5,660","31,200","31,280",Quebec
7232 Bricklayers and insulators,"6,480","43,600","45,480",Quebec
72320 Bricklayers,"5,250","41,600","43,280",Quebec
72321 Insulators,"1,230","54,800","54,800",Quebec
724 Technical maintenance trades,"96,050","51,200","54,150",Quebec
7240 Machinery and transportation equipment mechanics (except motor vehicles),"39,525","62,400","64,900",Quebec
72400 Construction millwrights and industrial mechanics,"18,120","60,000","63,150",Quebec
72401 Heavy-duty equipment mechanics,"8,275","60,400","65,200",Quebec
"72402 Heating, refrigeration and air conditioning mechanics","5,535","58,000","59,000",Quebec
72403 Railway carmen/women,345,"81,000","81,600",Quebec
72404 Aircraft mechanics and aircraft inspectors,"5,180","76,500","73,200",Quebec
72405 Machine fitters,"1,005","62,800","62,400",Quebec
72406 Elevator constructors and mechanics,"1,065","84,000","79,200",Quebec
7241 Automotive service technicians,"44,570","43,600","44,840",Quebec
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","38,170","44,800","45,800",Quebec
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","6,400","38,800","39,120",Quebec
7242 Small engine and equipment mechanics and related repairers (including electrical components),"11,960","52,800","53,350",Quebec
72420 Oil and solid fuel heating mechanics,480,"45,200","50,800",Quebec
72421 Appliance servicers and repairers,"1,650","38,400","43,600",Quebec
72422 Electrical mechanics,"8,020","58,800","58,600",Quebec
"72423 Motorcycle, all-terrain vehicle and other related mechanics","1,300","41,600","44,280",Quebec
72429 Other small engine and small equipment repairers,505,"27,200","27,600",Quebec
725 Technical equipment operation trades,"2,645","69,500","71,700",Quebec
7250 Crane operators and water well drillers,"2,645","69,500","71,700",Quebec
72500 Crane operators,"2,585","70,000","72,200",Quebec
72501 Water well drillers,55,"58,000","46,000",Quebec
726 Transportation officers and controllers,"5,855","83,000","97,800",Quebec
7260 Transportation officers and controllers,"5,855","83,000","97,800",Quebec
"72600 Air pilots, flight engineers and flying instructors","3,310","80,000","98,400",Quebec
72601 Air traffic controllers and related occupations,795,"93,000","101,400",Quebec
"72602 Deck officers, water transport",980,"79,500","103,200",Quebec
"72603 Engineer officers, water transport",615,"80,000","84,000",Quebec
72604 Railway traffic controllers and marine traffic regulators,150,"87,000","86,000",Quebec
729 Other technical trades,"2,050","41,600","42,840",Quebec
7299 Other technical trades,"2,050","41,600","42,840",Quebec
72999 Other technical trades and related occupations,"2,050","41,600","42,840",Quebec
73 General trades,"211,230","37,200","40,480",Quebec
731 General construction trades,"29,765","38,800","40,160",Quebec
"7310 Concrete finishers, tilesetters and plasterers","11,695","44,000","44,360",Quebec
73100 Concrete finishers,"2,690","47,600","48,840",Quebec
73101 Tilesetters,"2,425","39,600","40,400",Quebec
"73102 Plasterers, drywall installers and finishers and lathers","6,580","44,800","44,000",Quebec
"7311 Roofers, glaziers, painters, decorators and floor covering installers","18,070","35,600","37,400",Quebec
73110 Roofers and shinglers,"6,000","36,000","39,040",Quebec
73111 Glaziers,"2,140","49,600","48,560",Quebec
73112 Painters and decorators (except interior decorators),"8,145","31,400","33,480",Quebec
73113 Floor covering installers,"1,780","36,400","36,480",Quebec
"732 Building maintenance installers, servicers and repairers","34,850","31,000","33,680",Quebec
"7320 Building maintenance installers, servicers and repairers","34,850","31,000","33,680",Quebec
73200 Residential and commercial installers and servicers,"10,110","30,400","33,640",Quebec
73201 General building maintenance workers and building superintendents,"21,355","32,400","34,200",Quebec
73202 Pest controllers and fumigators,880,"34,000","38,800",Quebec
73209 Other repairers and servicers,"2,510","21,400","27,360",Quebec
733 Transportation occupations,"121,205","36,000","39,600",Quebec
7330 Transport truck and transit drivers,"119,710","35,600","38,920",Quebec
73300 Transport truck drivers,"95,695","37,200","39,200",Quebec
"73301 Bus drivers, subway operators and other transit operators","24,015","25,400","37,800",Quebec
7331 Train crew operating occupations,"1,495","96,000","92,400",Quebec
73310 Railway and yard locomotive engineers,810,"106,000","97,000",Quebec
73311 Railway conductors and brakemen/women,685,"88,000","86,800",Quebec
"734 Operators, drillers and blasters","25,415","52,800","54,350",Quebec
"7340 Operators, drillers and blasters","25,415","52,800","54,350",Quebec
73400 Heavy equipment operators,"20,235","54,400","55,350",Quebec
73401 Printing press operators,"4,180","43,600","45,680",Quebec
"73402 Drillers and blasters - surface mining, quarrying and construction","1,000","68,000","70,600",Quebec
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","25,665","45,600","45,040",Quebec
741 Mail and message distribution occupations,"15,615","50,000","47,040",Quebec
7410 Mail and message distribution occupations,"15,615","50,000","47,040",Quebec
74100 Mail and parcel sorters and related occupations,"4,275","40,800","42,200",Quebec
74101 Letter carriers,"7,500","62,000","54,600",Quebec
74102 Couriers and messengers,"3,840","32,800","37,640",Quebec
"742 Transport equipment operators, utility maintenance and related workers","10,055","38,400","41,920",Quebec
"7420 Transport equipment operators, utility maintenance and related maintenance workers","10,055","38,400","41,920",Quebec
74200 Railway yard and track maintenance workers,925,"71,500","71,200",Quebec
74201 Water transport deck and engine room crew,"1,010","47,200","47,100",Quebec
74202 Air transport ramp attendants,"1,425","31,400","34,760",Quebec
74203 Automotive and heavy truck and equipment parts installers and servicers,"1,900","27,000","33,160",Quebec
74204 Utility maintenance workers,265,"62,000","62,000",Quebec
74205 Public works maintenance equipment operators and related workers,"4,530","38,400","39,520",Quebec
"75 Helpers and labourers and other transport drivers, operators and labourers","126,295","31,800","35,720",Quebec
751 Helpers and labourers,"86,905","34,800","38,720",Quebec
7510 Longshore workers and material handlers,"50,290","34,800","39,240",Quebec
75100 Longshore workers,"1,380","93,000","87,000",Quebec
75101 Material handlers,"48,905","34,000","37,880",Quebec
7511 Trades helpers and labourers,"36,615","34,800","38,040",Quebec
75110 Construction trades helpers and labourers,"34,345","34,800","38,120",Quebec
75119 Other trades helpers and labourers,"2,265","32,000","36,960",Quebec
"752 Transport drivers, operators and labourers","39,390","22,200","29,000",Quebec
"7520 Taxi, personal service and delivery service drivers","26,260","13,000","22,040",Quebec
75200 Taxi and limousine drivers and chauffeurs,"11,490","6,900","13,180",Quebec
75201 Delivery service drivers and door-to-door distributors,"14,770","22,800","28,920",Quebec
7521 Water and rail transport operators and labourers and related occupations,"13,130","43,600","42,960",Quebec
75210 Boat and cable ferry operators and related occupations,220,"25,000","37,200",Quebec
75211 Railway and motor transport labourers,"1,770","32,400","35,480",Quebec
75212 Public works and maintenance labourers,"11,135","45,600","44,280",Quebec
"8 Natural resources, agriculture and related production occupations","85,275","23,000","33,520",Quebec
80 Middle management occupations in production and agriculture,"26,970","21,600","31,720",Quebec
800 Middle management occupations in production and agriculture,"26,970","21,600","31,720",Quebec
8001 Managers in natural resources production and fishing,"1,010","126,000","148,400",Quebec
80010 Managers in natural resources production and fishing,"1,010","126,000","148,400",Quebec
"8002 Managers in agriculture, horticulture and aquaculture","25,965","20,400","27,160",Quebec
80020 Managers in agriculture,"25,640","20,200","27,080",Quebec
80021 Managers in horticulture,265,"29,200","33,600",Quebec
80022 Managers in aquaculture,55,"29,400","37,000",Quebec
"82 Supervisors in natural resources, agriculture and related production","5,090","50,400","64,600",Quebec
"820 Supervisors in natural resources, agriculture and related production","5,090","50,400","64,600",Quebec
"8201 Supervisors, logging and forestry","1,035","46,000","49,300",Quebec
"82010 Supervisors, logging and forestry","1,035","46,000","49,300",Quebec
"8202 Contractors and supervisors, mining, oil and gas","1,485","122,000","118,300",Quebec
"82020 Supervisors, mining and quarrying","1,460","123,000","118,800",Quebec
"82021 Contractors and supervisors, oil and gas drilling and services",25,0,"85,000",Quebec
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","2,565","34,000","39,760",Quebec
82030 Agricultural service contractors and farm supervisors,455,"36,800","39,200",Quebec
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","2,115","34,000","39,880",Quebec
83 Occupations in natural resources and related production,"6,845","61,600","70,800",Quebec
831 Occupations in natural resources and fisheries,"6,845","61,600","70,800",Quebec
"8310 Underground miners, oil and gas drillers and related occupations","3,790","92,000","91,400",Quebec
83100 Underground production and development miners,"3,490","97,000","96,000",Quebec
"83101 Oil and gas well drillers, servicers, testers and related workers",295,"32,400","36,000",Quebec
8311 Logging machinery operators,"2,095","49,200","48,960",Quebec
83110 Logging machinery operators,"2,095","49,200","48,960",Quebec
8312 Fishing vessel masters and fishermen/women,955,"26,000","37,500",Quebec
83120 Fishing masters and officers,85,"85,000","84,000",Quebec
83121 Fishermen/women,865,"23,800","32,700",Quebec
"84 Workers in natural resources, agriculture and related production","16,705","24,400","31,760",Quebec
841 Workers in natural resources and fisheries,"16,705","24,400","31,760",Quebec
8410 Mine service workers and operators in oil and gas drilling,"1,570","72,000","77,000",Quebec
84100 Underground mine service and support workers,"1,475","72,500","77,600",Quebec
84101 Oil and gas well drilling and related workers and services operators,95,"64,000","68,000",Quebec
8411 Logging and forestry workers,"4,650","24,400","30,360",Quebec
84110 Chain saw and skidder operators,"1,955","23,600","29,000",Quebec
84111 Silviculture and forestry workers,"2,695","25,000","31,360",Quebec
8412 Workers in agriculture and fishing occupations,"10,485","21,600","25,600",Quebec
84120 Specialized livestock workers and farm machinery operators,"9,490","22,200","25,800",Quebec
84121 Fishing vessel deckhands,990,"17,800","23,880",Quebec
"85 Harvesting, landscaping and natural resources labourers","29,665","17,600","22,240",Quebec
"851 Harvesting, landscaping and natural resources labourers","29,665","17,600","22,240",Quebec
"8510 Agriculture, horticulture and harvesting labourers and related occupations","10,360","16,800","20,780",Quebec
85100 Livestock labourers,"5,460","18,000","22,200",Quebec
85101 Harvesting labourers,"2,580","12,900","17,740",Quebec
85102 Aquaculture and marine harvest labourers,80,"25,400","42,000",Quebec
85103 Nursery and greenhouse labourers,"2,135","17,600","19,980",Quebec
85104 Trappers and hunters,110,"15,400","22,800",Quebec
"8511 Mine and oil and gas drilling, services and related labourers",545,"40,000","52,200",Quebec
85110 Mine labourers,430,"43,200","54,400",Quebec
"85111 Oil and gas drilling, servicing and related labourers",120,"31,000","43,000",Quebec
"8512 Logging, forestry, landscaping and other related labourers","18,760","17,600","22,180",Quebec
85120 Logging and forestry labourers,"1,075","19,800","22,080",Quebec
85121 Landscaping and grounds maintenance labourers,"17,680","17,400","22,200",Quebec
9 Occupations in manufacturing and utilities,"207,960","38,800","46,520",Quebec
90 Middle management occupations in manufacturing and utilities,"18,875","78,000","90,900",Quebec
900 Middle management occupations in manufacturing and utilities,"18,875","78,000","90,900",Quebec
9001 Managers in manufacturing and utilities,"18,875","78,000","90,900",Quebec
90010 Manufacturing managers,"17,400","76,000","88,900",Quebec
90011 Utilities managers,"1,475","112,000","114,300",Quebec
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","21,565","65,000","68,000",Quebec
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","15,680","64,000","67,300",Quebec
"9201 Supervisors, processing and manufacturing occupations","12,115","66,000","69,200",Quebec
"92010 Supervisors, mineral and metal processing","1,975","86,000","91,900",Quebec
"92011 Supervisors, petroleum, gas and chemical processing and utilities","2,115","78,500","82,000",Quebec
"92012 Supervisors, food and beverage processing","4,410","58,800","58,000",Quebec
"92013 Supervisors, plastic and rubber products manufacturing","1,120","56,800","60,400",Quebec
"92014 Supervisors, forest products processing","2,000","70,000","69,700",Quebec
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing",500,"41,200","42,600",Quebec
"9202 Supervisors, assembly and fabrication","3,565","58,400","60,750",Quebec
"92020 Supervisors, motor vehicle assembling",290,"56,800","60,400",Quebec
"92021 Supervisors, electronics and electrical products manufacturing",470,"56,800","59,000",Quebec
"92022 Supervisors, furniture and fixtures manufacturing",680,"48,000","47,300",Quebec
"92023 Supervisors, other mechanical and metal products manufacturing",880,"76,000","76,200",Quebec
"92024 Supervisors, other products manufacturing and assembly","1,245","57,200","57,900",Quebec
921 Utilities equipment operators and controllers,"5,885","67,500","70,000",Quebec
9210 Utilities equipment operators and controllers,"5,885","67,500","70,000",Quebec
92100 Power engineers and power systems operators,"3,705","68,500","73,900",Quebec
92101 Water and waste treatment plant operators,"2,175","67,000","63,400",Quebec
93 Central control and process operators and aircraft assembly assemblers and inspectors,"5,535","72,500","72,400",Quebec
931 Central control and process operators in processing and manufacturing,"2,215","77,500","82,600",Quebec
9310 Central control and process operators in processing and manufacturing,"2,215","77,500","82,600",Quebec
"93100 Central control and process operators, mineral and metal processing",265,"100,000","88,000",Quebec
"93101 Central control and process operators, petroleum, gas and chemical processing","1,670","76,500","83,600",Quebec
"93102 Pulping, papermaking and coating control operators",275,"71,500","71,000",Quebec
932 Aircraft assemblers and aircraft assembly inspectors,"3,325","70,500","65,700",Quebec
9320 Aircraft assemblers and aircraft assembly inspectors,"3,325","70,500","65,700",Quebec
93200 Aircraft assemblers and aircraft assembly inspectors,"3,325","70,500","65,700",Quebec
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","96,920","38,000","42,200",Quebec
941 Processing and manufacturing machine operators and related production workers,"63,085","41,200","45,480",Quebec
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,"15,235","48,000","57,500",Quebec
"94100 Machine operators, mineral and metal processing","4,375","94,000","84,700",Quebec
94101 Foundry workers,"1,440","51,600","59,250",Quebec
94102 Glass forming and finishing machine operators and glass cutters,755,"37,200","37,500",Quebec
"94103 Concrete, clay and stone forming operators","1,190","40,400","41,500",Quebec
"94104 Inspectors and testers, mineral and metal processing",730,"52,800","57,600",Quebec
94105 Metalworking and forging machine operators,"3,085","39,600","40,280",Quebec
94106 Machining tool operators,"2,615","43,200","48,920",Quebec
94107 Machine operators of other metal products,"1,040","42,400","46,500",Quebec
"9411 Machine operators and related workers in chemical, plastic and rubber processing","9,195","42,400","45,400",Quebec
94110 Chemical plant machine operators,"2,995","50,400","52,950",Quebec
94111 Plastics processing machine operators,"4,235","36,400","37,880",Quebec
94112 Rubber processing machine operators and related workers,"1,970","48,400","50,080",Quebec
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,"10,770","45,200","48,400",Quebec
94120 Sawmill machine operators,"1,765","40,400","40,520",Quebec
"94121 Pulp mill, papermaking and finishing machine operators","2,185","75,000","73,100",Quebec
94122 Paper converting machine operators,"1,865","54,000","52,700",Quebec
94123 Lumber graders and other wood processing inspectors and graders,"1,055","42,800","44,800",Quebec
94124 Woodworking machine operators,"3,155","34,000","35,080",Quebec
94129 Other wood processing machine operators,745,"44,000","45,100",Quebec
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","6,295","23,200","26,960",Quebec
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","1,175","32,000","34,200",Quebec
"94131 Weavers, knitters and other fabric making occupations",715,"31,800","37,100",Quebec
94132 Industrial sewing machine operators,"3,675","20,000","22,720",Quebec
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing",730,"24,000","26,650",Quebec
"9414 Machine operators and related workers in food, beverage and associated products processing","18,385","40,400","41,640",Quebec
"94140 Process control and machine operators, food and beverage processing","12,115","43,600","45,160",Quebec
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","3,890","38,000","35,920",Quebec
94142 Fish and seafood plant workers,855,"15,500","21,880",Quebec
"94143 Testers and graders, food and beverage processing","1,525","37,200","39,240",Quebec
9415 Printing equipment operators and related occupations,"3,200","35,200","37,000",Quebec
94150 Plateless printing equipment operators,"1,645","37,600","37,760",Quebec
"94151 Camera, platemaking and other prepress occupations",505,"38,400","42,400",Quebec
94152 Binding and finishing machine operators,860,"33,200","34,000",Quebec
94153 Photographic and film processors,190,"22,400","29,600",Quebec
942 Assemblers and inspectors in manufacturing,"33,835","34,400","36,040",Quebec
"9420 Mechanical, electrical and electronics assemblers and inspectors","13,805","36,000","37,760",Quebec
"94200 Motor vehicle assemblers, inspectors and testers","3,555","36,400","37,160",Quebec
"94201 Electronics assemblers, fabricators, inspectors and testers","4,275","34,000","35,480",Quebec
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","2,695","34,000","35,280",Quebec
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers",775,"40,000","43,900",Quebec
94204 Mechanical assemblers and inspectors,"2,255","43,200","43,160",Quebec
"94205 Machine operators and inspectors, electrical apparatus manufacturing",255,"39,200","44,800",Quebec
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","20,030","33,200","34,880",Quebec
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","5,550","30,400","30,920",Quebec
94211 Assemblers and inspectors of other wood products,"2,805","31,000","31,640",Quebec
"94212 Plastic products assemblers, finishers and inspectors","1,560","33,200","32,880",Quebec
"94213 Industrial painters, coaters and metal finishing process operators","3,980","42,400","45,720",Quebec
"94219 Other products assemblers, finishers and inspectors","6,130","30,600","33,400",Quebec
"95 Labourers in processing, manufacturing and utilities","65,065","27,600","30,720",Quebec
